N,question,answer,relevance
259,знаете почему бог не принимает славы от человеков?,к разговорам за стеной не люблю подслушивать,0
260,"норм, а что именно?","виртуальность отняла у нас небо,  шепчу я.ты тоже это понял? конечно. мир уходит в глубину. в отражение реальности. зачем летать к луне или марсу, если здесь уже доступны любые планеты? пропал азарт. пропал интерес.",0
261,как твое утро?,у меня уже почти обед,0
262,почему в отношениях один всегда любит больше?,"а когда всего хватает, тогда уже неинтересно и не к чему стремиться",0
263,а где это?,на поверхности же светло,0
264,"аида да кстати, тоже заметил неравнодушна к тебе",во. а я о чем.,1
265,почему блондинки считаються глупыми? и кто это придумал?,"это придумали неудовлетворенные брюнетки, однозначно.",1
266,шо там ожила берлога ? или все по старому ?,"я отовсюду вышла почти только сижу во втором их чате, не буду название говорить, а то атата сделают но там тоже перекати поле",0
267,"в этом особенность человека: на каждый вопрос давать десятки противоположных ответов и утверждать, что каждый из них правилен",а что такое человек,1
268,ага. занимается наверное фигурой,наверное,0
269,одинокие женщины. одинокие мужчины. так может им так хорошо. чего вы достаете их? зависть?,"вполне может быть. я вот тоже люблю одиночество, но вот сложилось так что замужем и мужа люблю.",1
270,почему с меня берут налоги если меня нету в базе данных единого государственного реестра налогоплательщиков?,"если у вас есть хоть что-нибудь налогооблагаемое, вас записали в базу данных, вот и приходят",1
271,чувств,чувствовать - значит жить,1
272,а че мне пофиг,да вот не спится,0
273,"если жена мужа за непослушание будет лупить скалкой, до чего это доведет?",до послушания. или до развода.,1
274,более половины земного шара голубого цвета. а это с орентацией человечества не связано?,судя по всему пока традиционная ориентация лидирует так что думаю не связана ни коем образом,1
275,приветище! как оно?,как видишь,1
276,а вы часто ездите на сэкономленном?,"пока не доведу девку до оргазма, не теряю. а паотом. тоже не теряю, просто кончаю",0
277,что более ценно первая любовь или последняя?,забота о демографическом благополучии человеческого общества,0
278,"приходится ли вам напоминать мужу, что зарплату нужно оставлять дома?",не приходится. потому что мы деньги на карточку кладем. а дома только на небольшие расходы держим,1
279,вопрос к девушкамженщинам а тут есть незамужние? а что вы тут делаете?,"были, но уже нет, так как я стал атеистом",0
280,"где в москве можно поесть вкусные пельмени и вареники? кафе, рестораны",неплохие пельмени в старлайтах. а вареники надо есть в корчмах тарас бульба.,1
281,вы верете в ангелов?,"верю в ангела-хранителя. и, если вы крещеный, человек, посоветую вам обращаться к нему мысленно.",1
282,меня не одолеет типичный манябоец. нужно быть уровнем так на  посерьезнее.,"кто знает, сколько их приедет",0
283,а у вас что?,просто вы пишете с точками я поэтому подумала что чтото случилось.,0
284,"а если в сейфе места не хватает, куда складывать?","приглашаю к себе в подвал. только аккуратно, смотрите с моими не перепутайте",1
285,что значит бояться бога?,"значит любить бога. исполнять то, что он повелел. и для христиан это счастье и радость",1
286,"а что будет, если не забирать заказ орифлейм? штраф не платить? подадут в суд? и что?","если фильтр нормальный, как брита, то вторая очистка ничего не даст.",0
287,я про это и говорю ты жив остался??,та не грущу я,0
288,почему у одной правды так много разных точек зрения?,у каждого наблюдателя своя точка зрения. каждый имеет свой уникальный мир и систему критериев.,1
289,когда вам плохо на душе чем вы успокаиваетесь?,алкоголь успокаивает,1
290,"а почему российские женщины несравненно лучше, например, китайских или французских? в чем тут дело?",самые лучшие женщины славянки. это аксиома.,1
291,где слушать музыку в интернете? ,"хорошую, ненавижу русскую попсу. стиль любой.",0
292,в чем заключается основная цель массового спорта?,увеличить массовость наверно,1
293,"что можно продать, что бы на вырученные деньги купить диплом?",да влюбом бутеке или на рынке в отделе очков.,0
294,интересуешься,за кого ты меня принимаешь,1
295,почему твердят кино богомол новые серии? хотя идет полный повтор?,может потом будут новые серии,1
296,вы полагаете. это будет носиться?,"я полагаю, что следует шить.",1
297,"что будете делать, если ветер. порвет ваш парус?","присесть и задуматься, ведь мебель ему может и надоесть",0
298,какие книги. вы читаете?,в основном мистические романы,1
299,"я видел дедка на просторах ютуба, так он залпом выпил  бутылки водки.",это смертельно,0
300,белая пачка с соком  маркетинговый ход,"кто первый, тот и маркетолог",1
301,шаг. переехать в норвегию,шаг. найти бабушку,1
302,могут ли пандиты стать миротворцами? см. внизу,старые проверенные друзья тоже когда-то были новыми,0
303,когда можно слышать стук собственного сердца?,когда рядом с любимым ведь сердца любимых стучат в унисон.,1
304,как правильно заходить в метро?,"надо перестать пить. ведь когда пьешь, не дышишь",0
305,вот и иди дрыхни,а шо это ты меня гонишь?,1
306,"как избавиться от мошек, которые появляются из-за комнатных растений?",избавиться не проблема. а вдруг оно еще понадобится?,0
307,а вы что кушаете на завтрак?,"борщ с бутером хлеб, масло, квашеная капуста, зеленый лук, корейка",1
308,"ну штош. пятница, пьешь?","нет, сегодня не до этого.",0
309,"если парень метис есть русская, китайская, якутская кровь исповедует ислам, то на девушке какой нации может жениться?","можно на представительнице любой нации, только она должна будет принять ислам перед свадьбой.",1
310,"пусть. прошлое останется в прошлом, или?","путь прошлое не тянет нас назад, но всегда остается хорошим уроком.",1
311,как же потомство,а потомство это невесело,1
312,что есть знание?,уметь осуществить действие с прогнозируемым результатом,1
313,"правильно, зачем побираться у нищих","иди побирайся у кого сосешь, правильно",0
314,пример.хоть и не самый удачный,пошлить тоже надо уметь,1
315,у всех нас есть такой сосед,"я его сегодня простил, только забыл почему",0
316,"что делать, если пачки денег снизу гнить начинают?","заменить на рюмку и следить, чтоб была полной.",0
317,"дамы и господа, здравствуйте. в сексе вы сомелье? или банальные алкоголики.?",трахелье и сексоголик,1
318,насколько полон ваш стакан?,не знаю. я пирсинг сама себе колола. и уши мне в детстве дома кололи штопальной иглой.,0
319,у вас там тоже неожиданно подкралась зима?,у нас выпало уже два снега,1
320,что такое врачебная дипломатия?,мудрость это искусство эффективного использования своего ума.,0
321,у какого хозяина предприятия лучше работать с точки зрения оплаты труда у скупого или щедрого?,"у скупого, ведь, согласно пословице, скупой платит дважды",1
322,на какие виды лечения вы бы не согласились даже под страхом смерти?,ампутация.,1
323,мой дедушка,"красавчик, в корею хочешь?",1
324,почему считается. что много думать вредно?,"кому другим? некоторым очень плохо и тяжело, а кому-то очень уютно и тепло.",0
325,какие комнатные растения обозначают любовь или талисман любви?,растения с красными цветами привлекают энергию любви.,1
326,в чем вы всегда проигрываете?,в основном в покер.,0
327,"какой марки ваш автомобиль и куда на нем ездите, и храните где?","тойота, возле дома, под навесом стоит, ездю везде, куды проехать удается",1
328,как у вас дела?,"все круто, спасибо как твои дела?",1
329,здравствуйте,и вам не хворать,1
330,как научиться не опаздывать?,лучше в бассейне. под руководством хорошего тренера.,0
331,какими языкми кроме php можно написать скрипт для голосования на сайте?,да на каком угодно почти главное какие языки поддерживает ваш сервер,1
332,чего в гч не сидите?,потому что ты жалок и безпомощен,0
333,"я вот че спросить хотел, девоньки. вы с гипертониками не связываетесь?",ни одного наверно. так как меня в основном муж и содержит. я как-то больше привыкла к такому,0
334,как часто вы покупаете косметику?,очень мало. я против безудержного потребления.,0
335,сколько часов в неделю работает учитель по рисованию? какая у них нагруженность по часам?,учитель по рисованию работает почти как обычный учитель.,1
336,"женщина вот ты понимаешь, что отношения с мужчиной уже не приносят тебе радости, что делать будешь?",любовь это не всегда радость.,1
337,какой талант вам спать мешает?,запах волос моей любимой супруги.,0
338,кто такие некрофилы?,"психически ненормальные люди, предпочитающие секс с трупами.",1
339,как мне перестать бояться?,победить страх ведь то чего люди боятса живет у них в голове,1
340,с такимито успехами?,"вот как раз таки потому что я совершенно не умею играть, я завязала с играми на чтото, кроме интереса!",0
341,ребят всем пока ! хорошего и приятного обьщения всем.,хорошего вечера вам и приятных снофф.,1
342,"если женщине навесить сережки с камешками, то слушать она будет лучше?",пока всем подружкам не отзвонится вообще не будет слушать.,1
343,украина,"пхех, там можно такими владеть?",0
344,можно ли будучи замужем рассчитывать на долгосрочные отношения с мужчиной?,"можно, важно правильно расставить акценты и суметь не влюбиться в любовника",1
345,"хотел те селфу скинуть, но ты чот злая какаято","уже давно кинуть нужно было, щас уже сомневаюсь я",1
346,"нету образования вообще, а работаю зам директора :","я знаю, что ты умничка",0
347,не трать время. баны всей шайке сразу,"вот она конкуренцияpolly vrednayaanna wildangelreads надо было раньше рекламу организовать, наши то сразу повыходили",0
348,почему у тебя нет другой одежды,потому что я так хочу,0
349,что вы хотите дать человечеству? а можете?,"самолеты однозначно тот вид транспорта, где я себя не чувствую комфортно.",0
350,так уж и быть,давай добрых,1
351,середина полина сергеевна,"в армию записывает, добровольцем",0
352,как писать заявление в трудовую инспекцию?,"стань добрым, чтоб все любили",0
353,нужны ли драйвера для микрофона? меня не слышно в общем может что с настройками? где посмотреть?,драйвера не нужны. проверяй настройки в конкретных программах.,1
354,а вы пишете письма в прошлое? о чем они?, о моем настоящем и слегка о будущем,1
355,"всем привет, а санки к зиме уже можно готовить или зимы не будет?",незнаю как насчет нормальности. для меня такой вид секса неприемлен.,0
356,кстати да,утро идиотов какое то.,0
357,а вы в каком полушарии живете?,"в северном, восточном. смотря как рассматривать",1
358,секс и алкоголь,"секс с алкоголем-да, но вот любовь с алкоголем что то плохо как то выходило, однако",1
359,какое наслаждение можно получать от игры?,удовлетворение,1
360,это глупо,выбор за тобой. я здесь ничего не решаю. мое дело маленькое,0
361,куда катится мир? и куда катиться россися?,"мир к прогрессу, россия к упадку, как мне кажется.",1
362,у вас жарко?,тот которым ты банишь,0
363,"можно ли в ванной постелить линолиум, полы изначально деревянные",полы будут гнить. после каждого купания придется поднимать и сушить.,1
364,что вы читаете. помимо ответовна ваши вопросы книги или журнальчики?,"книги, сладенькаяпри пересечении определенного возраста от журнальчиков стало меня подташнивать",1
365,самый жесткий фильм что я смотрел,бомж с дробовиком хорош,0
366,когда мужчины научатся нас женщин понимать?,некоторые говорят. что если начнешь понимать женщину. то перестанешь ее любить.,1
367,когда россия полностью перейдет электронные деньги?,прикинь жизнь без конвертов,1
368,вы любите тишину?,"если выпивать то втроем, а если любовью, то вдвоем, в одиночку лучше только зарплату получать",0
369,как можно сохранить байкал?,достать со дна озера байкал клад адмирала колчака. золотой запас царской россии.,1
370,"а если до свадьбы не зажило, что делать?","к противоположной стене, чтобы разбежаться.",0
371,с подвыподвертом,"как ты так покакал, сразу видно в детстве лего не было",0
372,"мальчики, а вы любите сладких девочек?","мужчину, с которым этим самым сексом занимаешься",0
373,"что вы больше любите, водку и пиво или секс? а почему?","водку не пью, пиво не люблю, остается одна радость-секс.",1
374,уже говорил,как вызвать список всех админов?,0
375,uhm. hey. does anyone speak english around here?,hui sosesh?,0
376,в будущем многие дети будут зачинаться и рости в пробирках и инкубаторах в лабораториях? как вы считаете?,будем размножаться почкованием.,1
377,точно не глушак,в большинстве случаев!,0
378,что обозначает слово радость?,"радость это чувство удовольствия, ощущение большого душевного удовлетворения.",1
379,ну очень даже неплохо ну,хотелось бы лучше,1
380,как создать второй мой мир?,"сделанный себе самой, но на чужие деньги",0
381,у вас авто в гараже или на улице всегда большинство ведь на улице хранит и не имеет гаражей?,"у меня есть гараж, но авто на улице.",1
382,"утром по тв сюжет о моделях. туда специально девушек с такими личиками берут, чтобы от созерцания одежды не отвлекать?",конечно. модели это всего лишь вешалки для одежды -слава зайцев.,1
383,"скажите адрес организации которая выдает коды оквэд, или ссылку на сайт спасибо",госкомстат я думаю в ростове тебя точно не заинтересует адрес,1
384,"как обьяснит котенку, что собираемся его съесть?",нет это брак с самоотверженностью в начале и большой любовью в конце,0
385,тебе не нравится он?,"он когда в россии жил, был противен",1
386,почему нам в конце всегда забивают? я про анжи,"игроки значит в конце сдаются, расслабляются",1
387,а вам не кажется подозрительным. что роботы торент-сайтов требуют доказать что мы не роботы?,"эт ничего, в америке роботам присваивают статус электронной личности.",1
388,зачем уверенным в своей внешности и красоте людям распространяться своими фотками везде?,"ума нет, хоть внешностью похвалятся. будем к ни снисходительны, как с братьями нашими меньшими.",1
389,противно смотреть на бедных студентов да?,"это смотря чем бедных. если разумом, то действительно не особо приятно. и смотреть и слушать.",1
390,да анальной терапией,тоже смотрю,0
391,можно ли пророка найти в своем отечестве?,"лучше к специалисту обратиться. а то чистотел ядовитый, как бы потом хуже не стало на лице.",0
392,"и тихо в омут глянувнебрежно прикоснувшись в глубьмой дух застыл, я будто пьяныйнадеюсь сон, надеюсь я проснусь.я мимо зданий и прохожихмимо осенни лепестковмимо руин, лесов, заброшексебя найти так и не смог.мне ангел прямо намекал о том, что ноги нам врагино я не слушал и шагалпришел к обрыву сатаны.не поднимается рука слова красиво рифмовать это не кризис, а пустотадуша моя хочет дышатьдуша желает быть свободнойот злых и темных голосовведь когда постоянно больнодуша не чувствует любовь. и снова белый город в тени застроеных домовмне нашептал и я все понялно оказалось это ложьи краем уха громкий хохот услышав я, ушел бы прочьподаться некуда, а был ли повод? сбегать от мира подарившего восторг.и потеряв не золото, не гору жалких денегпод дикий рев железного орлапронзает сердце мне свинцовый ветеря бьюсь с самим собою до конца",отдает нотками готики,0
393,"можно сделать рентген в любой клинике, если военкомат направил в клинику по месту прописки?","тебя не заставят проходить рентген второй раз, так что делай где хочешь.",1
394,какие способности нужней для карьериста коммуникативные или организаторские?,уметь с полуслова угадывать желание босса,1
395,как же я рад видеть знакомые никнеймы,солидарен.,1
396,вам сложно любить себя? и любите ли вы себя?,"всю себя. обожаю массаж. можно даже просто пятки почесать, я мурлыкать начну.",0
397,а что ты можешь рассказать о себе,каждое существо способно мыслить,0
398,что вы тут мои денежки?,денежки?,1
399,та я ведрами пью,вот именно.,0
400,у нас снег,у нас пошел чудок,1
401,труба дружба? ?,какая дружба,1
402,привет киса,это шикарно,0
403,"от чего вас тошнит. в людях? от каких качеств? и много ли рядом таких людей, от которых вас тошнит?",меня не тошнит,1
404,развод после лет брака какова вероятность новых отношений у девушки,"бывало ли такое, что вы писали девушке, с которой бы вам хотелось познакомиться поближе, но в ответ получали только односложные ответы? конечно, такие ответы иногда уместны, но когда они приходят слишком часто, это выводит человека из равновесия. есть несколько уловок, которые помогут вам получать развернутые ответы от девушек.",0
405,"что делать с неадекватным сотрудником? неадекватность выражается в приступах агрессии, нецензурной бранью и прочее",уже ничего не сделаете или терпеть или сразу уволить. только такую дуру еще попробуй уволить,1
406,я тебе спою мишу шифутинского,не портить песни замечательного человека,1
407,"сейчас пойду на выборы. так за кого голосовать то? второй вопрос-если едро победит, то все скажут что это подстроено?","сыграй в кости, какое число выпадет за ту партию под этим номером и голосуй",1
408,зачем лгала ты? и зачем мой слух уже не отличает лжи от правды?,"если не отличает слух, подключите другие органы. сердце, например, оно наиболее чутко.",1
409,"можно ли забеременеть, если трахнули мозг?",не желательно. в парфюмерии много эфирных масел. толоько если нет другого спирта,0
410,что делать если бог не помогает в исполнении мечты?,брать инициативу в свои мощные руки,0
411,хорошо что не с жиденьким,тоже верно.,0
412,что такое план личного финансирования?,информационно-роазвлекательный ресурс,0
413,чем отличается умный человек от мудрого?,"способность это умение делать, талант это умение делать лучше всех",0
414,а почему вы любите короткие вопросы?,просто не заводить разговоры про политику,0
415,"тетя, обучающая ненавидеть других женщин это отличный наставник?",учить ненавидеть это проецировать ненависть к себе на весь мир.,1
416,своровал,я тоже хочу,1
417,иди в дом пей чай,с малиной,1
418,еще дела есть,я тоже так считаю.,0
419,какие фильмы получились лучше книги?,"турецкий гамбит. книга наискучнейшая, а фильм отличный.",1
420,это как?,нууууэто когда зарываешься промеж грудей лицом и делаешь так быр бырбыр.,1
421,количество именитых верующих доказывает лишь то что мракобесию и зомбированию подвержены любые умы,"неа. доказывает, что роль социума играет определяющую роль в мировозрении.",1
422,"а толку от жалости? она ей не помогла кв получить. были бы рядом люди как мы, чтоб носом ткнули вовремя. она б уже в своей хате сидела",кто она ей не помогла?,1
423,что у меня на аватарке?,мне кажеться это плечо или шея,0
424,как стать стервой?,общение с любимым человеком вот лучшее средство для профилактики и снятия стрессов.,0
425,не люблю песню выпускной ,"вчера были выпускные, ночью приключился салют, а я подумал что это пальба",0
426,вы на встречи часто опаздываете?,"я покупаю лосось или семгу, авокадо, креветки или морской коктейль и сыр филадельфию.",0
427,димочка ты просто многого не знаешь,"можно сказать, что ничего не знаю. о чем речь?",1
428,что такое природа,"это не роскошь, а средство передвижения",0
429,шма ебтвоюмать,eyllur недавно ходил со мной в кино,0
430,не говори за всех,ты чо блять игноришь опять?,0
431,здравствуйте,здравствуйте,0
432,кто ты,не переспрашивай,1
433,"вам часто деньги снятся, отбиваетесь?",складываю в тумбочку,1
434,"что делаете в ответ, когда вас подрезают на дороге?",завести киску по имени марта,0
435,"нужны ли нам флизелиновые обои, какой толк от флизелина и не опасен ли он для здоровья?",бумажные обои самые безопасные,1
436,"черное и белое. всегда борьба двух мнений. борьба, когда играют да и нет?","или же, вкусы у людей разные. а если так компромисс это разноцветные цвета.",1
437,как справиться с кризисом без водки?,замени водку самогоном.,1
438,как богатому пережить кризис?,поделиться с бедным,1
439,какой для вас самый лучший способ проведения досуга с любимым человеком?,"с любимой все замечательно, начиная прогулкой и заканчивая дальней поездкой.",1
440,"если есть скорость света, то есть и скорость тьмы?","прислушиваться к себе, когда что-то делаете, к ощущениям, что не так, что не устраивает и менять",0
441,можно ли быть независимым от собственных эмоций как это достигается?,"до ремонта еще не дошли, а вот дом сами построили.",0
442,чем то принципиальным отличается порядочная женщина от порядочного мужчины,"любая женщина может прокормить одинокого мужчину. это заложено во всех женщинах на генетическом уровне. здесь и материнские инстинкты, и инстинкты самосохранения, когда каждой женщине для защиты хочется иметь возле себя мужчину, в настоящий жизни эта защита может даже выражаться в том, чтобы донести тяжелую сумку или любая другая мужская услуга. а также никуда не деть стремление женщины к желанию создать семью и иметь партнера в личной жизни. у некоторых женщин присутствует так называемая пресловутая женская жалость - все реже встречается, но тем не менее бывает. поэтому прокормить может, но вот качество этой кормежки и то, что будет подразумеваться под словом - корм. это уже зависит от благосостояния женщины и от ее образа жизни",0
443,"блин, зачем я в такую рань проснулась?",клопа покормить,1
444,"любовь, женское счастье, счастливый брак. это про меня?",гражданский брак это самое большое на что вы можете рассчитывать,1
445,юля чтото пропала.,в la grande seductrice; francoise edition,0
446,я все знаю,"ну, ладно",0
447,"главное, теперь знаешь что тебе нравится, а что нет","да это точно ровесники мучаются сейчас изза этого, ибо уделяли время либо только школе, либо только тусовкамне знают, чего хотят от жизни",0
448,"можно ли выйдя из тела, смотря на небо увидеть рай?",да можно стать только,0
449,это магазин клавиатур для профессионалов,просто магазин для клавы? а для мышки отдельно,1
450,я знаю случаи когда и в этих ситуациях изменяют,а это уже зависит от людей,1
451,"неа, вообще.","ну вот, а че тогда спрашиваешь помню ли я тебя",1
452,"женщина. если тобой не интересуются мужчины, то для чего ты существуешь?","чтоб мотать им нервы, раз они не интересуются",1
453,достаточное количество воды может немного спасти ситуацию,и плотный прием пищи перед употреблением алкоголя,1
454,современная музыка лучше или хуже музыки прошлого?,мне она не нравится нет мелодичности,1
455,"и когда вы становитесь ангелочком, только тогда когда что-то надо или как?","ангелочек я всегда это мое перманентное состояние, ты же знаешь",1
456,какое самое русское блюдо?,говядинка. но рыба все равно лучше.,0
457,я прошел игру томб райдер ,тебе нравятся квесты,0
458,а ваши родители знают что вы умные и сидите на ответах?,"конечно приятно, особенно когда сам скучаешь и ждешь-не дождешься встречи с любимой.",0
459,"чего не хватает во мне, чтобы стать другим?",для начала стань самим собой-чтобы другим стать,1
460,можно ли намордник одеть на карнавал вместо маски собаки?,только через суд. он же назначит и перекомиссию.,0
461,нужно ли бабушкам и дедушкам вмешиваться в воспитание внуков?,в нормальной семье с благословения родителей. ни в коем случае не против родительской линии.,1
462,что делать когда нечего делать? с пользой для себя,значит нодо искать того кто будет достовлять организму полное удовлетворение.,0
463,чем пахнет от людей?,свежестью.,1
464,вам когда рояль надоедает. выче с ним делаете?,приличные люди. общаемся только через адвоката.,0
465,и будь ты в моем городе.,или тебе напомнить наш разговор?,0
466,с какой периодичностью. нужно сканироватьмужа. на вирусы?,после каждой попытки исследовать чужие файлы,1
467,кус кус макароны -это по сути одно и тоже. что еще -из одного теста так сказать?,"в принципе да, но лучше макароны",1
468,да тут дело уже жо принципа дошло,ойна словах вы все всегда принципулькиа на деле,1
469,когда чтото успело прозойти?,память твоя куриная,0
470,"пропал значек с панели задач от центра обновлений виндоус, как вернуть?",надо новый теперь покупать.,1
471,а что вот вас раздражает в телевизоре?,"скажем так, стимулировать нервную систему челоэка",0
472,бери выше,надо было писать. так бы выиграла,1
473,"каким кремом для лица, на ночь, вы пользуетесь",увлажняющим детским с ромашкой,1
474,у него погоняло  бобер,фамилия бобров,1
475,что делать если купил трусы на три размера больше?,ничего. от не избавиться,0
476,как правельно готовить картофель под чесночно-сливочным соусом?,просто залить соусом и в духовку,1
477,как отрастить яйса?,либо им надо родиться или сильно трудиться,0
478,почему мужчина вечно должен женщине а что тогда она ему должна,"не всех мужчин пугает женщина с ребенком. пугает тех мужчин, которые боятся ответственности или тех, кто боится, что женщина этого ребенка будет любить больше, чем совместного, или женщина больше не захочет иметь детей. это основные страхи.",0
479,а вы дружбу сами предлагаете ил ждете когда ее вам предложат?,"по всякому бывает если мне интересен этот человек, то конечно предлагаю",1
480,ну. нет.,в основном,0
481,"соласитесь выборы мэра, судьи, начальника полиции более важны, чем выборы президента? а их отняли","выборов начальника полиции в россии никогда не было, но если введут я за",1
482,жанр какой хош,любой. что нравиться самой.,1
483,подскажите пожалуста чем лудше и эфективнее лечить гемотому?,"коричневая, серо-коричневая, сливовая, фиолетовая.",0
484,а находясь в подвешенном состояние вы чем там занимаетесь?,подвешиваю других это да. в зависимом состоянии не нравится.,1
485,у меня нет времени,поэтому ты об этом говоришь в чате эт норм некоторые считают важным сообщить что им не важно,0
486,интересно. всегда-ли образование признак ума?,"да, уметь договорами заниматься, накладными, счф и прочим",0
487,она бы их еще до подмышек натянула,так носят чтобы попа казалась больше,1
488,а я помнила,воть так,0
489,"скажите, здесь ведь можно поворачивать влево в разрыве двойной сплошной?","можно, но надо помнить о помехе с права",1
490,девушки. почему вы считаете что футбол и рыбалка-это лучшие развлечения мужчины?,"еще охота, друзья и пиво.",1
491,"а правда ли, что есть салон где навсегда выпрямляют волосы?","и не только волосы. так же ноги, руки, зубы, носы. это не рельно выпрямить волосы навсегда.",1
492,на каком сайте можно онлайн сделать полис с иностранными правами?,сделай международное осаго и потверди его потом в любой нашей страховой,1
